itemId,userId,user_cat,rating,rating_group,item_cat,noise
1,5,Benevolent,4.0,Su,Strongly-preferred,0
1,33,Benevolent,3.0,Su,Strongly-preferred,0
1,44,Benevolent,3.0,Su,Strongly-preferred,0
1,50,Benevolent,3.0,Su,Strongly-preferred,0
1,57,Benevolent,5.0,Su,Strongly-preferred,0
1,66,Benevolent,4.0,Su,Strongly-preferred,0
1,71,Benevolent,5.0,Su,Strongly-preferred,0
1,91,Benevolent,4.0,Su,Strongly-preferred,0
1,96,Benevolent,5.0,Su,Strongly-preferred,0
1,112,Benevolent,3.0,Su,Strongly-preferred,0
1,130,Benevolent,3.0,Su,Strongly-preferred,0
1,132,Benevolent,2.0,Wu,Strongly-preferred,1
1,141,Benevolent,4.0,Su,Strongly-preferred,0
1,144,Benevolent,3.5,Su,Strongly-preferred,0
1,145,Benevolent,5.0,Su,Strongly-preferred,0
1,155,Benevolent,3.0,Su,Strongly-preferred,0
1,156,Benevolent,4.0,Su,Strongly-preferred,0
1,161,Benevolent,4.0,Su,Strongly-preferred,0
1,166,Benevolent,5.0,Su,Strongly-preferred,0
1,191,Benevolent,4.0,Su,Strongly-preferred,0
1,200,Benevolent,3.5,Su,Strongly-preferred,0
1,201,Benevolent,5.0,Su,Strongly-preferred,0
1,229,Benevolent,5.0,Su,Strongly-preferred,0
1,263,Benevolent,4.0,Su,Strongly-preferred,0
1,269,Benevolent,5.0,Su,Strongly-preferred,0
1,273,Benevolent,5.0,Su,Strongly-preferred,0
1,276,Benevolent,4.0,Su,Strongly-preferred,0
1,282,Benevolent,4.5,Su,Strongly-preferred,0
1,364,Benevolent,5.0,Su,Strongly-preferred,0
1,385,Benevolent,4.0,Su,Strongly-preferred,0
1,411,Benevolent,5.0,Su,Strongly-preferred,0
1,448,Benevolent,5.0,Su,Strongly-preferred,0
1,453,Benevolent,5.0,Su,Strongly-preferred,0
1,471,Benevolent,5.0,Su,Strongly-preferred,0
1,480,Benevolent,3.0,Su,Strongly-preferred,0
1,492,Benevolent,4.0,Su,Strongly-preferred,0
1,567,Variable,3.5,Su,Strongly-preferred,0
1,599,Variable,3.0,Su,Strongly-preferred,0
1,600,Benevolent,2.5,Au,Strongly-preferred,1
1,601,Benevolent,4.0,Su,Strongly-preferred,0
1,607,Benevolent,4.0,Su,Strongly-preferred,0
2,68,Benevolent,2.5,Au,Strongly-preferred,1
2,93,Benevolent,5.0,Su,Strongly-preferred,0
2,107,Benevolent,5.0,Su,Strongly-preferred,0
2,140,Benevolent,3.5,Su,Strongly-preferred,0
2,222,Benevolent,2.5,Au,Strongly-preferred,1
2,226,Benevolent,3.0,Su,Strongly-preferred,0
2,240,Benevolent,5.0,Su,Strongly-preferred,0
2,276,Benevolent,4.0,Su,Strongly-preferred,0
2,294,Critical,3.0,Su,Strongly-preferred,0
2,359,Benevolent,3.5,Su,Strongly-preferred,0
2,411,Benevolent,4.0,Su,Strongly-preferred,0
2,426,Benevolent,4.5,Su,Strongly-preferred,0
2,446,Benevolent,3.0,Su,Strongly-preferred,0
2,448,Benevolent,3.0,Su,Strongly-preferred,0
2,470,Benevolent,3.0,Su,Strongly-preferred,0
2,475,Benevolent,4.5,Su,Strongly-preferred,0
2,476,Benevolent,4.0,Su,Strongly-preferred,0
2,525,Benevolent,3.5,Su,Strongly-preferred,0
2,561,Benevolent,4.0,Su,Strongly-preferred,0
3,43,Benevolent,5.0,Su,Strongly-preferred,0
3,51,Benevolent,4.0,Su,Strongly-preferred,0
3,102,Benevolent,5.0,Su,Strongly-preferred,0
3,169,Benevolent,5.0,Su,Strongly-preferred,0
3,179,Benevolent,4.0,Su,Strongly-preferred,0
3,270,Benevolent,3.0,Su,Strongly-preferred,0
3,288,Benevolent,4.0,Su,Strongly-preferred,0
3,321,Benevolent,3.0,Su,Strongly-preferred,0
3,330,Benevolent,3.0,Su,Strongly-preferred,0
3,456,Benevolent,3.0,Su,Strongly-preferred,0
3,552,Benevolent,1.0,Wu,Strongly-preferred,1
3,590,Benevolent,3.0,Su,Strongly-preferred,0
4,84,Benevolent,3.0,Su,Strongly-preferred,0
5,6,Benevolent,5.0,Su,Strongly-preferred,0
5,45,Benevolent,3.0,Su,Strongly-preferred,0
5,66,Benevolent,4.0,Su,Strongly-preferred,0
5,84,Benevolent,3.0,Su,Strongly-preferred,0
5,103,Benevolent,4.0,Su,Strongly-preferred,0
