iter	Passed	Remaining
0	197	19582
1	223	10933
2	256	8306
3	290	6977
4	308	5853
5	337	5291
6	366	4871
7	396	4554
8	427	4321
9	455	4103
10	486	3935
11	504	3698
12	537	3597
13	563	3462
14	594	3367
15	622	3268
16	653	3189
17	683	3113
18	709	3023
19	737	2951
20	766	2884
21	779	2763
22	810	2714
23	840	2661
24	868	2604
25	899	2559
26	922	2494
27	952	2449
28	981	2403
29	1010	2358
30	1040	2315
31	1069	2271
32	1099	2232
33	1128	2191
34	1158	2150
35	1187	2111
36	1214	2067
37	1244	2030
38	1273	1991
39	1293	1940
40	1320	1900
41	1348	1862
42	1376	1824
43	1405	1788
44	1434	1753
45	1463	1718
46	1493	1684
47	1527	1655
48	1559	1623
49	1587	1587
50	1618	1554
51	1646	1520
52	1676	1486
53	1706	1453
54	1735	1419
55	1765	1387
56	1792	1352
57	1820	1318
58	1849	1284
59	1881	1254
60	1912	1223
61	1943	1191
62	1961	1151
63	1989	1118
64	2017	1086
65	2046	1054
66	2074	1021
67	2105	990
68	2133	958
69	2154	923
70	2185	892
71	2216	861
72	2245	830
73	2275	799
74	2303	767
75	2332	736
76	2360	705
77	2388	673
78	2415	642
79	2443	610
80	2470	579
81	2497	548
82	2524	517
83	2552	486
84	2580	455
85	2608	424
86	2637	394
87	2677	365
88	2708	334
89	2751	305
90	2784	275
91	2814	244
92	2844	214
93	2874	183
94	2902	152
95	2929	122
96	2957	91
97	2985	60
98	3013	30
99	3042	0
